"uri","answer date","answering body","date tabled","question text","tabling member > label","tabling member printed","title","uin"
"http://data.parliament.uk/resources/13136","2013-09-06","Foreign and Commonwealth Office","2013-09-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what steps he has taken to encourage the Chinese government to take stronger action to prevent organ harvesting from Chinese prisoners.","Biography information for Mr Tom Clarke","Mr Tom Clarke","House of Commons Tabled Parliamentary Question 2013/14 168083","168083"
"http://data.parliament.uk/resources/13137","2013-09-06","Foreign and Commonwealth Office","2013-09-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, if he will provide an estimate of the number of Pakistanis killed by American drones, with a separate estimate of the number of civilians killed.","Biography information for Sir Gerald Kaufman","Sir Gerald Kaufman","House of Commons Tabled Parliamentary Question 2013/14 168086","168086"
"http://data.parliament.uk/resources/13138","2013-09-09","Department for Transport","2013-09-04","To ask the Secretary of State for Transport, how many untraced driver agreement applications rejected by the Motor Insurers' Bureau have subsequently been overturned by an arbitrator at appeal either by (a) preliminary and (b) final decision.","Biography information for Steve Rotheram","Steve Rotheram","House of Commons Tabled Parliamentary Question 2013/14 168091","168091"
"http://data.parliament.uk/resources/13139","2013-09-09","Department for Work and Pensions","2013-09-04","To ask the Secretary of State for Work and Pensions, for how long claimants moved on to managed payments as a result of eight weeks' arrears will remain on that scheme before returning to direct payments; and if he will make a statement.","Biography information for Stephen Timms","Stephen Timms","House of Commons Tabled Parliamentary Question 2013/14 168117","168117"
"http://data.parliament.uk/resources/13140","2013-09-09","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, what the total cost was of her Department's pilot advertising scheme using the phrase 'go home or face arrest'.","Biography information for Keith Vaz","Keith Vaz","House of Commons Tabled Parliamentary Question 2013/14 168126","168126"
"http://data.parliament.uk/resources/13141","2013-09-09","Ministry of Defence","2013-09-04","To ask the Secretary of State for Defence, with reference to the contribution of the Parliamentary Under Secretary of State of 16 July 2013, Official Report, column 1015, for what reasons the identity of the domain to go first when a Government-Owned Contractor-Operated Organisation  is established has not yet been made public.","Biography information for Alison Seabeck","Alison Seabeck","House of Commons Tabled Parliamentary Question 2013/14 168120","168120"
"http://data.parliament.uk/resources/13142","2013-09-09","Ministry of Defence","2013-09-04","To ask the Secretary of State for Defence, whether cross-government approvals were received prior to the invitation to negotiate specific to the proposal for a Government-Owned Contractor-Operated Organisation which was published on 24 July 2013.","Biography information for Alison Seabeck","Alison Seabeck","House of Commons Tabled Parliamentary Question 2013/14 168122","168122"
"http://data.parliament.uk/resources/13143","2013-09-09","Department for Business, Innovation and Skills","2013-09-04","To ask the Secretary of State for Business, Innovation and Skills, how many people in (a) Barnsley and (b) South Yorkshire who are in full-time work earn below the living wage.","Biography information for Dan Jarvis","Dan Jarvis","House of Commons Tabled Parliamentary Question 2013/14 168123","168123"
"http://data.parliament.uk/resources/13144","2013-09-09","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, how many complaints her Department received about its pilot advertising scheme using the phrase 'go home or face arrest'.","Biography information for Keith Vaz","Keith Vaz","House of Commons Tabled Parliamentary Question 2013/14 168124","168124"
"http://data.parliament.uk/resources/13145","2013-09-06","Attorney General","2013-09-04","To ask the Attorney General, pursuant to the Answer of 2 September 2013, Official Report, column 1W, on billing, how much was owed to the outstanding creditors listed in that answer.","Biography information for Nick de Bois","Nick de Bois","House of Commons Tabled Parliamentary Question 2013/14 168111","168111"
"http://data.parliament.uk/resources/13146","2013-09-09","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, in which areas her Department's pilot advertising scheme using the phrase 'go home or face arrest' ran; and for what period of time that scheme ran in each area.","Biography information for Keith Vaz","Keith Vaz","House of Commons Tabled Parliamentary Question 2013/14 168125","168125"
"http://data.parliament.uk/resources/13147","2013-09-09","Ministry of Defence","2013-09-04","To ask the Secretary of State for Defence, how many times the harmony guidelines have been breached for each of the three services in the last year.","Biography information for Alison Seabeck","Alison Seabeck","House of Commons Tabled Parliamentary Question 2013/14 168160","168160"
"http://data.parliament.uk/resources/13148","2013-09-06","Department for Business, Innovation and Skills","2013-09-04","To ask the Secretary of State for Business, Innovation and Skills, if he will assess the effect of data protection legislation on the ability of hon. Members to act on their constituents' behalf with regards to complaints to business and service providers.","Biography information for John Robertson","John Robertson","House of Commons Tabled Parliamentary Question 2013/14 168142","168142"
"http://data.parliament.uk/resources/13149","2013-09-09","Foreign and Commonwealth Office","2013-09-04","To ask the Secretary of State for Foreign and Commonwealth Affairs, what his policy is on assessing the human rights record of countries before permitting arms exports from the UK to those countries.","Biography information for Mr Laurence Robertson","Mr Laurence Robertson","House of Commons Tabled Parliamentary Question 2013/14 168162","168162"
"http://data.parliament.uk/resources/13150","2013-09-06","Department for Education","2013-09-04","To ask the Secretary of State for Education, what estimate he has made of the number of children entitled to free childcare on 1 October (a) 2013 and (b) 2014 in (i) East Hampshire constituency and (ii) Hampshire, as a result of the extension of the free childcare scheme announced on 2 September 2013.","Biography information for Mr Damian Hinds","Damian Hinds","House of Commons Tabled Parliamentary Question 2013/14 168152","168152"
"http://data.parliament.uk/resources/13151","2013-09-06","Department for Energy and Climate Change","2013-09-04","To ask the Secretary of State for Energy and Climate Change, what guidance his Department has given to energy companies regarding the provision of information to customers about home visits to install smart meters.","Biography information for John Robertson","John Robertson","House of Commons Tabled Parliamentary Question 2013/14 168147","168147"
"http://data.parliament.uk/resources/13265","2013-09-09","Home Office","2013-09-04","To ask the Secretary of State for the Home Department, what proportion of domestic abuse cases in Barnsley were referred by the police to the Crown Prosecution Service in (a) 2010, (b) 2011 and (c) 2012.","Biography information for Dan Jarvis","Dan Jarvis","House of Commons Tabled Parliamentary Question 2013/14 168078","168078"
"http://data.parliament.uk/resources/13266","2013-09-11","Ministry of Defence","2013-09-04","To ask the Secretary of State for Defence, pursuant to the Prime Minister's oral Answer of 4 September 2013, on Trident, if he will make an estimate of the additional cost to his Department of bringing forward the main gate decision on the successor submarines to before May 2015.","Biography information for Dr Julian Lewis","Dr Julian Lewis","House of Commons Tabled Parliamentary Question 2013/14 168094","168094"
"http://data.parliament.uk/resources/13368","2013-09-10","HM Treasury","2013-09-04","To ask Mr Chancellor of the Exchequer, What recent comparative assessment he has made of trends in real wages in the UK and in similar economies.","Biography information for Chris Evans","Chris Evans","House of Commons Tabled Parliamentary Question 2013/14 900240","900240"
"http://data.parliament.uk/resources/12794","2013-09-06","Ministry of Justice","2013-09-03","To ask the Secretary of State for Justice, if he will review policy on the disqualification for life from jury service of people who have had mental health problems.","Biography information for Bob Stewart","Bob Stewart","House of Commons Tabled Parliamentary Question 2013/14 167845","167845"
"http://data.parliament.uk/resources/12795","2013-09-06","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, with reference to his Department's announcement of 22 July 2013 on improving the Work Capability Assessment, if he will publish his Department's audit which identified an unacceptable reduction in the quality of written reports produced following assessments.","Biography information for Liam Byrne","Mr Liam Byrne","House of Commons Tabled Parliamentary Question 2013/14 167846","167846"
"http://data.parliament.uk/resources/12796","2013-09-06","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, in which Work Programme contract package areas will market shift take place as a result of providers' underperformance.","Biography information for Liam Byrne","Mr Liam Byrne","House of Commons Tabled Parliamentary Question 2013/14 167847","167847"
"http://data.parliament.uk/resources/12797","2013-09-05","Department for Environment, Food and Rural Affairs","2013-09-03","To ask the Secretary of State for Environment, Food and Rural Affairs, how much his Department gave to (a) CPRE, (b) Cheltenham Animal Shelter, (c) Friends of the Earth, Scotland, (d) Green Alliance, (e) Freedom Foods Ltd, (f) Greenpeace, (g) Mammals Trust, (h) RSPCA, (i) RSPB, (j) Salmon and Trout Association, (k) The Country Trust, (l) The Mammal Society, (m) The National Trust, (n) The Wildfowl and Wetlands Trust and (o) Friends of the Earth, Wales in each of the last two years; and for what reasons each such contribution was made.","Biography information for Simon Hart","Simon Hart","House of Commons Tabled Parliamentary Question 2013/14 167836","167836"
"http://data.parliament.uk/resources/12798","2013-09-06","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, when the most recent statistics on vacancies by constituency will be published.","Biography information for Liam Byrne","Mr Liam Byrne","House of Commons Tabled Parliamentary Question 2013/14 167848","167848"
"http://data.parliament.uk/resources/12799","2013-09-06","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, what estimate he has made of the proportion of personal independence payments that will be successfully appealed in the next 12 months.","Biography information for Liam Byrne","Mr Liam Byrne","House of Commons Tabled Parliamentary Question 2013/14 167849","167849"
"http://data.parliament.uk/resources/12800","2013-09-05","Foreign and Commonwealth Office","2013-09-03","To ask the Secretary of State for Foreign and Commonwealth Affairs, what steps UK Trade and Investment takes to ensure there is no conflict of interest between the British Council's role in assessing and advising on applications for support for educational businesses and its role as a provider of such services.","Biography information for Mrs Pauline Latham","Pauline Latham","House of Commons Tabled Parliamentary Question 2013/14 167837","167837"
"http://data.parliament.uk/resources/12801","2013-09-06","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, when he will announce further details of the market share shift in Work Programme contract package areas.","Biography information for Liam Byrne","Mr Liam Byrne","House of Commons Tabled Parliamentary Question 2013/14 167850","167850"
"http://data.parliament.uk/resources/12802","2013-09-06","HM Treasury","2013-09-03","To ask Mr Chancellor of the Exchequer, how much HM Revenue and Customs has spent on supporting tax administrations in developing countries in each of the last five years.","Biography information for Mrs Pauline Latham","Pauline Latham","House of Commons Tabled Parliamentary Question 2013/14 167852","167852"
"http://data.parliament.uk/resources/12803","2013-09-05","Department for Communities and Local Government","2013-09-03","To ask the Secretary of State for Communities and Local Government, what total central Government support to local authorities will be in cash terms in (a) 2014-15 and (b) 2015-16.","Biography information for Ian Austin","Ian Austin","House of Commons Tabled Parliamentary Question 2013/14 167838","167838"
"http://data.parliament.uk/resources/12804","2013-09-06","HM Treasury","2013-09-03","To ask Mr Chancellor of the Exchequer, what estimate he has made of royalty income from Crown-owned mineral rights attached to land in the UK in (a) 2012-13 and (b) 2013-14.","Biography information for Nick Gibb","Mr Nick Gibb","House of Commons Tabled Parliamentary Question 2013/14 167853","167853"
"http://data.parliament.uk/resources/12805","2013-09-05","Department for Communities and Local Government","2013-09-03","To ask the Secretary of State for Communities and Local Government, whether the 2013 Spending Round figures describing a 2.3 per cent overall reduction in local authority funding includes funding for (a) the NHS, (b) schools and (c) other areas not in the remit of local authorities.","Biography information for Ian Austin","Ian Austin","House of Commons Tabled Parliamentary Question 2013/14 167839","167839"
"http://data.parliament.uk/resources/12806","2013-09-05","Department of Health","2013-09-03","To ask the Secretary of State for Health, pursuant to the Answer of 16 July 2013, Official Report columns 667-668W, on equality, where the details of those salary costs are held.","Biography information for Philip Davies","Philip Davies","House of Commons Tabled Parliamentary Question 2013/14 167840","167840"
"http://data.parliament.uk/resources/12807","2013-09-06","HM Treasury","2013-09-03","To ask Mr Chancellor of the Exchequer, how much the Exchequer received in royalty income from Crown-owned mineral rights on land in (a) 2009-10, (b) 2010-11 and (c) 2011-12.","Biography information for Nick Gibb","Mr Nick Gibb","House of Commons Tabled Parliamentary Question 2013/14 167854","167854"
"http://data.parliament.uk/resources/12808","2013-09-05","Department for Education","2013-09-03","To ask the Secretary of State for Education, which external conferences he attended in an official capacity in 2012.","Biography information for Tom Watson","Mr Tom Watson","House of Commons Tabled Parliamentary Question 2013/14 167841","167841"
"http://data.parliament.uk/resources/12809","2013-09-06","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, what change there has been in the level of youth unemployment in the last three years; and what steps he plans to take to reduce youth unemployment in the next two years.","Biography information for Lindsay Roy","Lindsay Roy","House of Commons Tabled Parliamentary Question 2013/14 167855","167855"
"http://data.parliament.uk/resources/12810","2013-09-06","Home Office","2013-09-03","To ask the Secretary of State for the Home Department, whether she plans to expand the immigration detention estate.","Biography information for Sarah Teather","Sarah Teather","House of Commons Tabled Parliamentary Question 2013/14 167856","167856"
"http://data.parliament.uk/resources/12811","2013-09-05","HM Treasury","2013-09-03","To ask Mr Chancellor of the Exchequer, what recent assessment his Department has made of the effect of the conflict in Syria on the price of oil.","Biography information for Dr Matthew Offord","Dr Matthew Offord","House of Commons Tabled Parliamentary Question 2013/14 167843","167843"
"http://data.parliament.uk/resources/12812","2013-09-06","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, how many individuals placed in the Work-Related Activity Group received a prognosis statement that they are unlikely to return to work in the last six months.","Biography information for Sheila Gilmore","Sheila Gilmore","House of Commons Tabled Parliamentary Question 2013/14 167857","167857"
"http://data.parliament.uk/resources/12813","2013-09-06","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, when he intends to publish the Evidence Based Review of the Work Capability Assessment.","Biography information for Stephen Timms","Stephen Timms","House of Commons Tabled Parliamentary Question 2013/14 167858","167858"
"http://data.parliament.uk/resources/12814","2013-09-06","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, how many people returned to Job Centre Plus after completing two years on the Work Programme in (a) June, (b) July and (c) August 2013.","Biography information for Stephen Timms","Stephen Timms","House of Commons Tabled Parliamentary Question 2013/14 167859","167859"
"http://data.parliament.uk/resources/12815","2013-09-06","Ministry of Justice","2013-09-03","To ask the Secretary of State for Justice, what (a) financial savings have been made and (b) job reductions have taken place as a result of the closure of the (i) magistrates' court and (ii) county court in Bishop Auckland constituency.","Biography information for Helen Goodman","Helen Goodman","House of Commons Tabled Parliamentary Question 2013/14 167860","167860"
"http://data.parliament.uk/resources/12816","2013-09-06","Home Office","2013-09-03","To ask the Secretary of State for the Home Department, if she will place in the Library her Department's full Independent Review of all information received by her Department about organised child sex abuse from 1979 to 1999; and if she will make a statement.","Biography information for Tom Watson","Mr Tom Watson","House of Commons Tabled Parliamentary Question 2013/14 167861","167861"
"http://data.parliament.uk/resources/12817","2013-09-09","Ministry of Defence","2013-09-03","To ask the Secretary of State for Defence, how many new Army reservists were recruited in the first quarter of 2013-14; what recruitment target was set for that period; how many Army reservists are expected to be recruited in 2013-14; and how many reservists need to be recruited in each of the next five years to meet the Army's current manning targets.","Biography information for Crispin Blunt","Mr Crispin Blunt","House of Commons Tabled Parliamentary Question 2013/14 167862","167862"
"http://data.parliament.uk/resources/12818","2013-09-09","Home Office","2013-09-03","To ask the Secretary of State for the Home Department, how many people held in immigration detention had been held for more than (a) 18 months, (b) 24 months and (c) 36 months on 1 September 2013.","Biography information for Sarah Teather","Sarah Teather","House of Commons Tabled Parliamentary Question 2013/14 167863","167863"
"http://data.parliament.uk/resources/12819","2013-09-05","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, how many people are currently in receipt of (a) universal credit and (b) any working age benefit.","Biography information for Lord Darling of Roulanish","Mr Alistair Darling","House of Commons Tabled Parliamentary Question 2013/14 167865","167865"
"http://data.parliament.uk/resources/12820","2013-09-06","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, what steps he has taken to ensure that organisations participating in the Work Programme deliver in accordance with their contracts.","Biography information for Charlotte Leslie","Charlotte Leslie","House of Commons Tabled Parliamentary Question 2013/14 167875","167875"
"http://data.parliament.uk/resources/12821","2013-09-06","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, what discussions his Department has had with the Trussell Trust about the growth in demand for foodbanks; and if he will make a statement.","Biography information for Stephen Timms","Stephen Timms","House of Commons Tabled Parliamentary Question 2013/14 167876","167876"
"http://data.parliament.uk/resources/12822","2013-09-05","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, what estimate his Department made of the cost of introducing universal credit by 2010; and what his most recent estimate is of (a) its cost to date and (b) the total cost when universal credit has been fully implemented.","Biography information for Lord Darling of Roulanish","Mr Alistair Darling","House of Commons Tabled Parliamentary Question 2013/14 167866","167866"
"http://data.parliament.uk/resources/12823","2013-09-06","HM Treasury","2013-09-03","To ask Mr Chancellor of the Exchequer, how many applications for annual PAYE status have been received since the introduction of real time information; and how many such applications have been granted.","Biography information for Stephen Timms","Stephen Timms","House of Commons Tabled Parliamentary Question 2013/14 167877","167877"
"http://data.parliament.uk/resources/12824","2013-09-05","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, when he expects universal credit to be paid through all Jobcentre Plus offices in the City of Edinburgh.","Biography information for Lord Darling of Roulanish","Mr Alistair Darling","House of Commons Tabled Parliamentary Question 2013/14 167867","167867"
"http://data.parliament.uk/resources/12825","2013-09-05","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, when he expects universal credit to be available through all Jobcentre Plus offices in Great Britain.","Biography information for Lord Darling of Roulanish","Mr Alistair Darling","House of Commons Tabled Parliamentary Question 2013/14 167868","167868"
"http://data.parliament.uk/resources/12826","2013-09-05","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, if he will list the offices from which universal credit is paid, as of 2 September 2013.","Biography information for Lord Darling of Roulanish","Mr Alistair Darling","House of Commons Tabled Parliamentary Question 2013/14 167869","167869"
"http://data.parliament.uk/resources/12827","2013-09-06","Cabinet Office","2013-09-03","To ask the Minister for the Cabinet Office, how much funding was allocated to the Community First programme in years (a) one and (b) two; what proportion of that funding has been spent by local Community First panels; and what assessment he has made of the effectiveness of the programme.","Biography information for Tom Watson","Mr Tom Watson","House of Commons Tabled Parliamentary Question 2013/14 167879","167879"
"http://data.parliament.uk/resources/12828","2013-09-05","Home Office","2013-09-03","To ask the Secretary of State for the Home Department, what recent discussions she has had with the Cabinet Secretary for Justice in Scotland on (a) the rate of drink driving in (i) Scotland and (ii) the UK and (b) the sharing of best practice to reduce that rate.","Biography information for Jim Sheridan","Jim Sheridan","House of Commons Tabled Parliamentary Question 2013/14 167870","167870"
"http://data.parliament.uk/resources/12829","2013-09-06","Ministry of Justice","2013-09-03","To ask the Secretary of State for Justice, what assessment he has carried out of the work undertaken by the North Liverpool Community Justice Centre.","Biography information for Dame Louise Ellman","Mrs Louise Ellman","House of Commons Tabled Parliamentary Question 2013/14 167880","167880"
"http://data.parliament.uk/resources/12830","2013-09-05","Ministry of Justice","2013-09-03","To ask the Secretary of State for Justice, what progress his Department has made in its review of the criminal law on child neglect; and if he will report the findings of that review to the House before Second Reading of the Child Maltreatment Bill.","Biography information for Andrew Gwynne","Andrew Gwynne","House of Commons Tabled Parliamentary Question 2013/14 167871","167871"
"http://data.parliament.uk/resources/12831","2013-09-06","Department for Education","2013-09-03","To ask the Secretary of State for Education, what the role is of his Department's Academies Presumption Team.","Biography information for Kevin Brennan","Kevin Brennan","House of Commons Tabled Parliamentary Question 2013/14 167881","167881"
"http://data.parliament.uk/resources/12832","2013-09-06","Foreign and Commonwealth Office","2013-09-03","To ask the Secretary of State for Foreign and Commonwealth Affairs, what recent assessment he has made of the situation in Kashmir.","Biography information for Debbie Abrahams","Debbie Abrahams","House of Commons Tabled Parliamentary Question 2013/14 167882","167882"
"http://data.parliament.uk/resources/12833","2013-09-06","Department of Health","2013-09-03","To ask the Secretary of State for Health, how many people died of smoking-related illness in each year since 1983 for which data is available; and what estimate he has made of the number of people who will die of smoking-related illness in each of the next three years.","Biography information for Chris Ruane","Chris Ruane","House of Commons Tabled Parliamentary Question 2013/14 167884","167884"
"http://data.parliament.uk/resources/12834","2013-09-06","Department of Health","2013-09-03","To ask the Secretary of State for Health, what assessment he has made of the effect of smoking on the developing foetus.","Biography information for Chris Ruane","Chris Ruane","House of Commons Tabled Parliamentary Question 2013/14 167886","167886"
"http://data.parliament.uk/resources/12835","2013-09-06","Department of Health","2013-09-03","To ask the Secretary of State for Health, what estimate he has made of the number of working days lost due to smoking-related illness in each year since 1983 for which data is available; and what estimate he has made of the cost to the economy of those lost days.","Biography information for Chris Ruane","Chris Ruane","House of Commons Tabled Parliamentary Question 2013/14 167888","167888"
"http://data.parliament.uk/resources/12836","2013-09-05","Department of Health","2013-09-03","To ask the Secretary of State for Health, what evidence-based research his Department has considered in developing its policy on standardised packaging of cigarettes; and what conclusions he has drawn from the consideration of that evidence.","Biography information for Chris Ruane","Chris Ruane","House of Commons Tabled Parliamentary Question 2013/14 167889","167889"
"http://data.parliament.uk/resources/12837","2013-09-06","Department of Health","2013-09-03","To ask the Secretary of State for Health, whether veterans of the armed services receive priority dental care.","Biography information for Andrew Selous","Andrew Selous","House of Commons Tabled Parliamentary Question 2013/14 167890","167890"
"http://data.parliament.uk/resources/12838","2013-09-05","Department of Health","2013-09-03","To ask the Secretary of State for Health, what the average lifespan was of (a) male and (b) female smokers, and of (i) male and (ii) female non-smokers in each year since 1983 for which data is available.","Biography information for Chris Ruane","Chris Ruane","House of Commons Tabled Parliamentary Question 2013/14 167872","167872"
"http://data.parliament.uk/resources/12839","2013-09-05","HM Treasury","2013-09-03","To ask Mr Chancellor of the Exchequer, what estimate he has made of the income tax paid in (a) 2009-10, (b) 2010-11, (c) 2011-12 and (d) 2012-13 by people in the highest one per cent income bracket; and what proportion this represented of total UK income tax paid in those years.","Biography information for Harriett Baldwin","Harriett Baldwin","House of Commons Tabled Parliamentary Question 2013/14 167873","167873"
"http://data.parliament.uk/resources/12840","2013-09-05","Foreign and Commonwealth Office","2013-09-03","To ask the Secretary of State for Foreign and Commonwealth Affairs, with reference to the Answer to Baroness Tonge of 30 July 2013, Official Report, House of Lords, column 294WA, on Palestine, what the source was of the figures given in that Answer for the number of Palestinian civilians killed by Israelis since 1 January 2012 in incidents directly related to the Israeli-Palestinian conflict in the West Bank and Gaza Strip.","Biography information for Bob Blackman","Bob Blackman","House of Commons Tabled Parliamentary Question 2013/14 167891","167891"
"http://data.parliament.uk/resources/12841","2013-09-05","Department of Health","2013-09-03","To ask the Secretary of State for Health, what the cost to the public purse was of claims settled through the NHS Litigation Authority relating to (a) meningococcal meningitis and (b) meningitis B in the last 15 years.","Biography information for Sir Tony Cunningham","Sir Tony Cunningham","House of Commons Tabled Parliamentary Question 2013/14 167892","167892"
"http://data.parliament.uk/resources/12842","2013-09-05","Department of Health","2013-09-03","To ask the Secretary of State for Health, how many claims were made through the NHS Litigation Authority relating to (a) meningococcal meningitis and (b) meningitis B in the last 15 years.","Biography information for Sir Tony Cunningham","Sir Tony Cunningham","House of Commons Tabled Parliamentary Question 2013/14 167893","167893"
"http://data.parliament.uk/resources/12843","2013-09-06","Department for Transport","2013-09-03","To ask the Secretary of State for Transport, with reference to British Standard BS EN15663:2009, Railway applications, what the (a) usable standing area vehicle reference and (b) definition of vehicle reference masses is for (i) long distance and (ii) other rolling stock currently in use on the UK rail network or on order for future use; when that standard was last revised; and what the usable standing area vehicle reference and definition of vehicle reference masses were under the previous version of that standard.","Biography information for Dominic Raab","Mr Dominic Raab","House of Commons Tabled Parliamentary Question 2013/14 167898","167898"
"http://data.parliament.uk/resources/12844","2013-09-05","Home Office","2013-09-03","To ask the Secretary of State for the Home Department, whether the surveillance camera code of practice which came into force in August 2013 applies to the use of unmanned aerial vehicles by public authorities.","Biography information for Mr Roger Godsiff","Mr Roger Godsiff","House of Commons Tabled Parliamentary Question 2013/14 167894","167894"
"http://data.parliament.uk/resources/12845","2013-09-06","Home Office","2013-09-03","To ask the Secretary of State for the Home Department, how many foreign national offenders have successfully challenged deportation on human rights grounds in the last 10 years; how many of those challenges were under (a) Article 3, (b) Article 6 and (c) Article 8 of the European Convention on Human Rights; and how many were on other grounds.","Biography information for Dominic Raab","Mr Dominic Raab","House of Commons Tabled Parliamentary Question 2013/14 167899","167899"
"http://data.parliament.uk/resources/12846","2013-09-06","Speaker's Committee for Independent Parliamentary Standards Authority","2013-09-03","To ask the hon. Member for Broxbourne, representing the Speaker's Committee for the Independent Parliamentary Standards Authority, what steps IPSA is taking to improve its efficiency and effectiveness.","Biography information for Lindsay Roy","Lindsay Roy","House of Commons Tabled Parliamentary Question 2013/14 167908","167908"
"http://data.parliament.uk/resources/12847","2013-09-05","Ministry of Defence","2013-09-03","To ask the Secretary of State for Defence, on how many occasions UK Reaper unmanned aerial vehicles have launched weapons in Afghanistan since 11 May 2013.","Biography information for Mr Roger Godsiff","Mr Roger Godsiff","House of Commons Tabled Parliamentary Question 2013/14 167895","167895"
"http://data.parliament.uk/resources/12848","2013-09-06","Department for Education","2013-09-03","To ask the Secretary of State for Education, whether he is a member of any of his Department's ministerial working groups.","Biography information for Tom Watson","Mr Tom Watson","House of Commons Tabled Parliamentary Question 2013/14 167900","167900"
"http://data.parliament.uk/resources/12849","2013-09-05","Department for Work and Pensions","2013-09-03","To ask the Secretary of State for Work and Pensions, how many Child Support Agency reassessments were carried out as a result of parents who are members of the armed forces being posted overseas in 2011-12.","Biography information for Gordon Banks","Gordon Banks","House of Commons Tabled Parliamentary Question 2013/14 167896","167896"
"http://data.parliament.uk/resources/12850","2013-09-06","Home Office","2013-09-03","To ask the Secretary of State for the Home Department, how much compensation her Department and its agencies paid as a result of losing (a) passports and (b) other travel documents in each of the last five years for which records are available.","Biography information for Sarah Teather","Sarah Teather","House of Commons Tabled Parliamentary Question 2013/14 167909","167909"
"http://data.parliament.uk/resources/12851","2013-09-06","Department for Environment, Food and Rural Affairs","2013-09-03","To ask the Secretary of State for Environment, Food and Rural Affairs, with reference to the Answer of 17 April 2013, Official Report, column 391W, on bovine tuberculosis, when his Department plans to assess the effect of measures introduced in January 2013 to improve the testing regime and restrict cattle movements on the incidence of bovine tuberculosis.","Biography information for Kerry McCarthy","Kerry McCarthy","House of Commons Tabled Parliamentary Question 2013/14 167901","167901"
"http://data.parliament.uk/resources/12852","2013-09-05","Home Office","2013-09-03","To ask the Secretary of State for the Home Department, who has access to the criminal records of those people given a new identity for their own protection on their release from prison; and whether police forces have access to (a) DNA, (b) fingerprint and (c) other relevant records from their previous identity.","Biography information for Philip Davies","Philip Davies","House of Commons Tabled Parliamentary Question 2013/14 167897","167897"
"http://data.parliament.uk/resources/12853","2013-09-06","Department for Education","2013-09-03","To ask the Secretary of State for Education, how many children in (a) England and (b) Kettering constituency failed to achieve a grade C in (i) mathematics and (ii) English at GCSE level in the last year for which figures are available.","Biography information for Mr Philip Hollobone","Mr Philip Hollobone","House of Commons Tabled Parliamentary Question 2013/14 167902","167902"
"http://data.parliament.uk/resources/12854","2013-09-06","Department for Education","2013-09-03","To ask the Secretary of State for Education, what assessment he has made of the number of primary school places available in (a) South Yorkshire and (b) Barnsley in (i) 2013, (ii) 2014 and (iii) 2015.","Biography information for Dan Jarvis","Dan Jarvis","House of Commons Tabled Parliamentary Question 2013/14 167904","167904"
"http://data.parliament.uk/resources/12855","2013-09-06","Department of Health","2013-09-03","To ask the Secretary of State for Health, on what date he expects NHS England to ratify the Clinical Priorities Advisory Group recommendation for the use of eculizumab made on 12 July 2013.","Biography information for Chi Onwurah","Chi Onwurah","House of Commons Tabled Parliamentary Question 2013/14 167905","167905"
"http://data.parliament.uk/resources/12856","2013-09-06","Cabinet Office","2013-09-03","To ask the Minister for the Cabinet Office, what guidance his Department offers on the inclusion of contract bonds in the commissioning and procurement of public services.","Biography information for Chi Onwurah","Chi Onwurah","House of Commons Tabled Parliamentary Question 2013/14 167906","167906"
"http://data.parliament.uk/resources/12857","2013-09-06","Foreign and Commonwealth Office","2013-09-03","To ask the Secretary of State for Foreign and Commonwealth Affairs, what recent discussions he has had with his Colombian counterpart on the detention of Mr Huber Ballesteros; and if he will make a statement.","Biography information for Helen Jones","Helen Jones","House of Commons Tabled Parliamentary Question 2013/14 167907","167907"
"http://data.parliament.uk/resources/12858","2013-09-05","Home Office","2013-09-03","To ask the Secretary of State for the Home Department, what assessment she has made of the adequacy of the resources available to the Child Exploitation and Online Protection Centre to combat child abuse online.","Biography information for Helen Goodman","Helen Goodman","House of Commons Tabled Parliamentary Question 2013/14 167910","167910"
